username,event_type,time
SILVIA_MARTINEZ_DANIEL,edx.course.enrollment.activated,2016-03-06
DavidSqdr,edx.course.enrollment.activated,2016-03-06
Jandro,edx.course.enrollment.activated,2016-03-06
Juanjo,edx.course.enrollment.activated,2016-03-06
eduardc,edx.course.enrollment.activated,2016-03-06
adiazco,edx.course.enrollment.activated,2016-03-07
nflores,edx.course.enrollment.activated,2016-03-07
Haf,edx.course.enrollment.activated,2016-03-07
beaempren,edx.course.enrollment.activated,2016-03-07
aitorpalomares,edx.course.enrollment.activated,2016-03-07
essenalb,edx.course.enrollment.activated,2016-03-07
PolQuintana,edx.course.enrollment.activated,2016-03-07
augerhcp,edx.course.enrollment.activated,2016-03-07
dalmiron,edx.course.enrollment.activated,2016-03-07
mayme15,edx.course.enrollment.activated,2016-03-07
martiteres,edx.course.enrollment.activated,2016-03-07
Lewis,edx.course.enrollment.activated,2016-03-07
Anna76,edx.course.enrollment.activated,2016-03-07
MarcBC,edx.course.enrollment.activated,2016-03-07
ValeriaAyala,edx.course.enrollment.activated,2016-03-07
PaulaFA,edx.course.enrollment.activated,2016-03-07
maarcpradas11,edx.course.enrollment.activated,2016-03-07
Pepone,edx.course.enrollment.activated,2016-03-07
Remardi,edx.course.enrollment.activated,2016-03-07
HectorMC,edx.course.enrollment.activated,2016-03-07
Rionegro,edx.course.enrollment.activated,2016-03-07
yunierc,edx.course.enrollment.activated,2016-03-07
joan_xifra,edx.course.enrollment.activated,2016-03-07
CristianPascual,edx.course.enrollment.activated,2016-03-07
HectorMC,edx.course.enrollment.activated,2016-03-07
Sami1992,edx.course.enrollment.activated,2016-03-07
ANSON,edx.course.enrollment.activated,2016-03-07
Marcfer,edx.course.enrollment.activated,2016-03-07
abah,edx.course.enrollment.activated,2016-03-07
MangelesMorcillo,edx.course.enrollment.activated,2016-03-07
HellenGuillen,edx.course.enrollment.activated,2016-03-07
ClaudiaPadilla,edx.course.enrollment.activated,2016-03-07
Priscila,edx.course.enrollment.activated,2016-03-07
Cristian_Marilaf,edx.course.enrollment.activated,2016-03-07
Funes,edx.course.enrollment.activated,2016-03-07
JRueda,edx.course.enrollment.activated,2016-03-07
MiquelPuPa,edx.course.enrollment.activated,2016-03-07
Fdez,edx.course.enrollment.activated,2016-03-07
IE,edx.course.enrollment.activated,2016-03-07
montsepinel,edx.course.enrollment.activated,2016-03-07
Amanda_Visirius,edx.course.enrollment.activated,2016-03-07
manuel-L,edx.course.enrollment.activated,2016-03-07
FerranDexeus,edx.course.enrollment.activated,2016-03-07
Dolors58,edx.course.enrollment.activated,2016-03-07
sdavilabel,edx.course.enrollment.activated,2016-03-07
Jribasportella,edx.course.enrollment.activated,2016-03-07
christimanta,edx.course.enrollment.activated,2016-03-07
Ribazzo,edx.course.enrollment.activated,2016-03-07
madeincatalonia,edx.course.enrollment.activated,2016-03-07
dagarcpa,edx.course.enrollment.activated,2016-03-07
SergiFP,edx.course.enrollment.activated,2016-03-07
Josep_Casellas,edx.course.enrollment.activated,2016-03-07
MartaCifu,edx.course.enrollment.activated,2016-03-07
Pedro7,edx.course.enrollment.activated,2016-03-07
Anna_M,edx.course.enrollment.activated,2016-03-07
bethparramon,edx.course.enrollment.activated,2016-03-07
CarmenDesiree,edx.course.enrollment.activated,2016-03-07
marccarreras,edx.course.enrollment.activated,2016-03-07
Rosa54,edx.course.enrollment.activated,2016-03-07
law_15,edx.course.enrollment.activated,2016-03-07
SilviaGamboa,edx.course.enrollment.activated,2016-03-07
CarlosLV,edx.course.enrollment.activated,2016-03-07
ReyMarc,edx.course.enrollment.activated,2016-03-07
tonrigat,edx.course.enrollment.activated,2016-03-07
carmen1388,edx.course.enrollment.activated,2016-03-07
JordiVaMi,edx.course.enrollment.activated,2016-03-07
marc_97,edx.course.enrollment.activated,2016-03-07
rosich,edx.course.enrollment.activated,2016-03-07
AngelaBG,edx.course.enrollment.activated,2016-03-07
Oriolbo1,edx.course.enrollment.activated,2016-03-08
Amateu,edx.course.enrollment.activated,2016-03-08
Bolkonsky,edx.course.enrollment.activated,2016-03-08
guillemboti,edx.course.enrollment.activated,2016-03-08
TerezaS,edx.course.enrollment.activated,2016-03-08
MeriTomasa,edx.course.enrollment.activated,2016-03-08
celsius,edx.course.enrollment.activated,2016-03-08
ATorras,edx.course.enrollment.activated,2016-03-08
silviams24,edx.course.enrollment.activated,2016-03-08
Marquitus,edx.course.enrollment.activated,2016-03-08
xserra,edx.course.enrollment.activated,2016-03-08
Carrie,edx.course.enrollment.activated,2016-03-08
mayidavilla,edx.course.enrollment.activated,2016-03-08
SaraHerna,edx.course.enrollment.activated,2016-03-08
AnnaBio,edx.course.enrollment.activated,2016-03-08
anacorralabos,edx.course.enrollment.activated,2016-03-08
SilviaSimon_2016,edx.course.enrollment.activated,2016-03-08
Carina,edx.course.enrollment.activated,2016-03-08
oriolsolsona,edx.course.enrollment.activated,2016-03-08
Mercemisc,edx.course.enrollment.activated,2016-03-08
cmendezmalaga,edx.course.enrollment.activated,2016-03-08
cmendezmalaga,edx.course.enrollment.activated,2016-03-08
